spec,target,gain,mad,max
game_type,2023,-58.13127902761228,0.004775819369663704,0.016697440599788015
game_type,2024,-62.84677838932773,0.014743675044566052,0.06942001688931491
count,2023,-10.127360180567369,0.006020541971683932,0.010369231538144098
count,2024,0.9185603075556603,0.0026071116796589993,0.012771569049622816
hands,2023,-6.476740379685042,0.0050822003760577885,0.010477974916441887
hands,2024,1.8070789664786924,0.006456468552607535,0.009066837246365072
inning,2023,-13.781547044205977,0.0056385209113519515,0.01619228906346803
inning,2024,1.4389538953912817,0.001469234346277903,0.003369864863925605
leverage,2023,-10.701028459431106,0.005014821608619391,0.00722671425976997
leverage,2024,1.2493972882138271,0.0015200517880756183,0.004571350132524692
pitcher_n,2023,-9.146707142648758,0.005272331977208342,0.009393840247962389
pitcher_n,2024,-5.24534861187087,0.0060090666040231965,0.038754786250119855
batter_n,2023,-26.41921743449793,0.004277640558185554,0.01592820628182973
batter_n,2024,-4.296895299712999,0.004958905049200932,0.04008756035358229
pressure,2023,-10.639791992711478,0.005587616313282867,0.007108253701725074
pressure,2024,0.2511763095736086,0.0014233955346263675,0.012771569049622816
type_count,2023,-40.77838590764715,0.005804200315189739,0.023389273253270778
type_count,2024,-49.140299689307,0.013878397065206358,0.06812957846939897
type_pressure,2023,-53.252012373511405,0.005557733495321386,0.01946598223453573
type_pressure,2024,-59.85665199159662,0.014868178439585614,0.06887982317300816
count_hands,2023,-6.450886084841123,0.0072581133064578566,0.02396780068136736
count_hands,2024,1.9065506651316788,0.007372896969177492,0.035355000569726056
count_pn,2023,-8.447525628868524,0.006610250066688395,0.014042277140030321
count_pn,2024,-4.170240631060085,0.005869269535452568,0.035100279010103014
