scale,local_delta_bss,ci_low,ci_high,positive_probability,projected_lb_shape_only
0.05,1.7445664842046398,-0.6586080867771964,4.184010974888026,0.9223333333333333,1127.5514185677032
0.075,2.1927874581021864,-1.4346310048810615,5.877625837460364,0.886,1127.7274161730438
0.1,2.3583002531966004,-2.5131412012714107,7.287878484841295,0.8356666666666667,1127.792406116144
